Código,Descripción
10,DIA. 10
13,DIA. 13/15
19,DIA. 19/20
25,DIA. 25
32,DIA. 32
38,DIA. 38/40
50,DIA. 50
75,DIA. 75/80
100,DIA. 100
110,DIA. 110
125,DIA. 125
150,DIA. 150
160,DIA 160
180,DIA.180
200,DIA. 200
250,DIA. 250
300,DIA. 300
400,DIA. 400
999,SIN DIAMETRO
